Date,Open,High,Low,Close,Volume,Adj Close
2006-07-05,9.69,9.69,9.69,9.69,000,6.879745
2006-07-03,9.73,9.73,9.73,9.73,000,6.908145
2006-06-30,9.73,9.73,9.73,9.73,000,6.908145
2006-06-29,9.70,9.70,9.70,9.70,000,6.858446
2006-06-28,9.68,9.68,9.68,9.68,000,6.844305
2006-06-27,9.69,9.69,9.69,9.69,000,6.851375
2006-06-26,9.68,9.68,9.68,9.68,000,6.844305
2006-06-23,9.68,9.68,9.68,9.68,000,6.844305
2006-06-22,9.70,9.70,9.70,9.70,000,6.858446
2006-06-21,9.72,9.72,9.72,9.72,000,6.872587
2006-06-20,9.73,9.73,9.73,9.73,000,6.879657
2006-06-19,9.73,9.73,9.73,9.73,000,6.879657
2006-06-16,9.74,9.74,9.74,9.74,000,6.886728
2006-06-15,9.75,9.75,9.75,9.75,000,6.893799
2006-06-14,9.79,9.79,9.79,9.79,000,6.922081
2006-06-13,9.82,9.82,9.82,9.82,000,6.943292
2006-06-12,9.81,9.81,9.81,9.81,000,6.936222
2006-06-09,9.82,9.82,9.82,9.82,000,6.943292
2006-06-08,9.81,9.81,9.81,9.81,000,6.936222
2006-06-07,9.80,9.80,9.80,9.80,000,6.929152
2006-06-06,9.81,9.81,9.81,9.81,000,6.936222
2006-06-05,9.81,9.81,9.81,9.81,000,6.936222
2006-06-02,9.82,9.82,9.82,9.82,000,6.943292
2006-06-01,9.76,9.76,9.76,9.76,000,6.900869
2006-05-31,9.76,9.76,9.76,9.76,000,6.900869
2006-05-30,9.78,9.78,9.78,9.78,000,6.886021
2006-05-26,9.80,9.80,9.80,9.80,000,6.900103
2006-05-25,9.78,9.78,9.78,9.78,000,6.886021
2006-05-24,9.80,9.80,9.80,9.80,000,6.900103
2006-05-23,9.79,9.79,9.79,9.79,000,6.893062
2006-05-22,9.80,9.80,9.80,9.80,000,6.900103
2006-05-19,9.80,9.80,9.80,9.80,000,6.900103
2006-05-18,9.79,9.79,9.79,9.79,000,6.893062
2006-05-17,9.76,9.76,9.76,9.76,000,6.871939
2006-05-16,9.78,9.78,9.78,9.78,000,6.886021
2006-05-15,9.76,9.76,9.76,9.76,000,6.871939
2006-05-12,9.75,9.75,9.75,9.75,000,6.864898
2006-05-11,9.77,9.77,9.77,9.77,000,6.878981
2006-05-10,9.78,9.78,9.78,9.78,000,6.886021
2006-05-09,9.78,9.78,9.78,9.78,000,6.886021
2006-05-08,9.78,9.78,9.78,9.78,000,6.886021
2006-05-05,9.79,9.79,9.79,9.79,000,6.893062
2006-05-04,9.77,9.77,9.77,9.77,000,6.878981
2006-05-03,9.77,9.77,9.77,9.77,000,6.878981
2006-05-02,9.79,9.79,9.79,9.79,000,6.893062
2006-05-01,9.78,9.78,9.78,9.78,000,6.886021
2006-04-28,9.81,9.81,9.81,9.81,000,6.907144
2006-04-27,9.80,9.80,9.80,9.80,000,6.87194
2006-04-26,9.78,9.78,9.78,9.78,000,6.857915
2006-04-25,9.80,9.80,9.80,9.80,000,6.87194
2006-04-24,9.84,9.84,9.84,9.84,000,6.899988
2006-04-21,9.82,9.82,9.82,9.82,000,6.885964
2006-04-20,9.81,9.81,9.81,9.81,000,6.878952
2006-04-19,9.82,9.82,9.82,9.82,000,6.885964
2006-04-18,9.83,9.83,9.83,9.83,000,6.892976
2006-04-17,9.81,9.81,9.81,9.81,000,6.878952
2006-04-13,9.79,9.79,9.79,9.79,000,6.864927
2006-04-12,9.82,9.82,9.82,9.82,000,6.885964
2006-04-11,9.84,9.84,9.84,9.84,000,6.899988
2006-04-10,9.83,9.83,9.83,9.83,000,6.892976
2006-04-07,9.83,9.83,9.83,9.83,000,6.892976
2006-04-06,9.86,9.86,9.86,9.86,000,6.914012
2006-04-05,9.88,9.88,9.88,9.88,000,6.928037
2006-04-04,9.87,9.87,9.87,9.87,000,6.921025
2006-04-03,9.86,9.86,9.86,9.86,000,6.914012
2006-03-31,9.87,9.87,9.87,9.87,000,6.921025
2006-03-30,9.87,9.87,9.87,9.87,000,6.892976
2006-03-29,9.89,9.89,9.89,9.89,000,6.906944
2006-03-28,9.91,9.91,9.91,9.91,000,6.920911
2006-03-27,9.94,9.94,9.94,9.94,000,6.941862
2006-03-24,9.95,9.95,9.95,9.95,000,6.948846
2006-03-23,9.93,9.93,9.93,9.93,000,6.934879
2006-03-22,9.94,9.94,9.94,9.94,000,6.941862
2006-03-21,9.93,9.93,9.93,9.93,000,6.934879
2006-03-20,9.97,9.97,9.97,9.97,000,6.962814
2006-03-17,9.96,9.96,9.96,9.96,000,6.95583
2006-03-16,9.97,9.97,9.97,9.97,000,6.962814
2006-03-15,9.93,9.93,9.93,9.93,000,6.934879
2006-03-14,9.94,9.94,9.94,9.94,000,6.941862
2006-03-13,9.90,9.90,9.90,9.90,000,6.913927
2006-03-10,9.91,9.91,9.91,9.91,000,6.920911
2006-03-09,9.93,9.93,9.93,9.93,000,6.934879
2006-03-08,9.92,9.92,9.92,9.92,000,6.927895
2006-03-07,9.92,9.92,9.92,9.92,000,6.927895
2006-03-06,9.92,9.92,9.92,9.92,000,6.927895
2006-03-03,9.95,9.95,9.95,9.95,000,6.948846
2006-03-02,9.97,9.97,9.97,9.97,000,6.962814
2006-03-01,9.99,9.99,9.99,9.99,000,6.976781
2006-02-28,10.01,10.01,10.01,10.01,000,6.990749
2006-02-27,9.99,9.99,9.99,9.99,000,6.950243
2006-02-24,10.00,10.00,10.00,10.00,000,6.9572
2006-02-23,10.00,10.00,10.00,10.00,000,6.9572
2006-02-22,10.01,10.01,10.01,10.01,000,6.964158
2006-02-21,10.00,10.00,10.00,10.00,000,6.9572
2006-02-17,10.01,10.01,10.01,10.01,000,6.964158
2006-02-16,9.98,9.98,9.98,9.98,000,6.943285
2006-02-15,9.97,9.97,9.97,9.97,000,6.936329
2006-02-14,9.97,9.97,9.97,9.97,000,6.936329
2006-02-13,9.98,9.98,9.98,9.98,000,6.943285
2006-02-10,9.98,9.98,9.98,9.98,000,6.943285
2006-02-09,10.00,10.00,10.00,10.00,000,6.9572
2006-02-08,9.99,9.99,9.99,9.99,000,6.950243
2006-02-07,10.00,10.00,10.00,10.00,000,6.9572
2006-02-06,10.01,10.01,10.01,10.01,000,6.964158
2006-02-03,10.01,10.01,10.01,10.01,000,6.964158
2006-02-02,10.00,10.00,10.00,10.00,000,6.9572
2006-02-01,10.00,10.00,10.00,10.00,000,6.9572
2006-01-31,10.01,10.01,10.01,10.01,000,6.964158
2006-01-30,10.01,10.01,10.01,10.01,000,6.937025
2006-01-27,10.02,10.02,10.02,10.02,000,6.943955
2006-01-26,10.02,10.02,10.02,10.02,000,6.943955
2006-01-25,10.04,10.04,10.04,10.04,000,6.957815
2006-01-24,10.08,10.08,10.08,10.08,000,6.985535
2006-01-23,10.09,10.09,10.09,10.09,000,6.992465
2006-01-20,10.09,10.09,10.09,10.09,000,6.992465
2006-01-19,10.08,10.08,10.08,10.08,000,6.985535
2006-01-18,10.09,10.09,10.09,10.09,000,6.992465
2006-01-17,10.10,10.10,10.10,10.10,000,6.999396
2006-01-13,10.09,10.09,10.09,10.09,000,6.992465
2006-01-12,10.06,10.06,10.06,10.06,000,6.971675
2006-01-11,10.04,10.04,10.04,10.04,000,6.957815
2006-01-10,10.05,10.05,10.05,10.05,000,6.964745
2006-01-09,10.07,10.07,10.07,10.07,000,6.978605
2006-01-06,10.07,10.07,10.07,10.07,000,6.978605
2006-01-05,10.08,10.08,10.08,10.08,000,6.985535
2006-01-04,10.08,10.08,10.08,10.08,000,6.985535
2006-01-03,10.07,10.07,10.07,10.07,000,6.978605
2005-12-30,10.06,10.06,10.06,10.06,000,6.971675
2005-12-29,10.06,10.06,10.06,10.06,000,6.944648
2005-12-28,10.06,10.06,10.06,10.06,000,6.944648
2005-12-27,10.08,10.08,10.08,10.08,000,6.958454
2005-12-23,10.06,10.06,10.06,10.06,000,6.944648
2005-12-22,10.04,10.04,10.04,10.04,000,6.930841
2005-12-21,10.01,10.01,10.01,10.01,000,6.910132
2005-12-20,10.02,10.02,10.02,10.02,000,6.917035
2005-12-19,10.03,10.03,10.03,10.03,000,6.923938
2005-12-16,10.03,10.03,10.03,10.03,000,6.923938
2005-12-15,10.02,10.02,10.02,10.02,000,6.917035
2005-12-14,10.03,10.03,10.03,10.03,000,6.923938
2005-12-13,9.99,9.99,9.99,9.99,000,6.896325
2005-12-12,9.98,9.98,9.98,9.98,000,6.889421
2005-12-09,9.99,9.99,9.99,9.99,000,6.896325
2005-12-08,10.02,10.02,10.02,10.02,000,6.917035
2005-12-07,9.99,9.99,9.99,9.99,000,6.896325
2005-12-06,10.00,10.00,10.00,10.00,000,6.903228
2005-12-05,9.97,9.97,9.97,9.97,000,6.882519
2005-12-02,9.98,9.98,9.98,9.98,000,6.889421
2005-12-01,9.98,9.98,9.98,9.98,000,6.889421
2005-11-30,10.00,10.00,10.00,10.00,000,6.903228
2005-11-29,10.01,10.01,10.01,10.01,000,6.883899
2005-11-28,10.04,10.04,10.04,10.04,000,6.90453
2005-11-25,10.03,10.03,10.03,10.03,000,6.897653
2005-11-23,10.01,10.01,10.01,10.01,000,6.883899
2005-11-22,10.03,10.03,10.03,10.03,000,6.897653
2005-11-21,10.02,10.02,10.02,10.02,000,6.890776
2005-11-18,10.00,10.00,10.00,10.00,000,6.877022
2005-11-17,10.02,10.02,10.02,10.02,000,6.890776
2005-11-16,10.00,10.00,10.00,10.00,000,6.877022
2005-11-15,9.97,9.97,9.97,9.97,000,6.856391
2005-11-14,9.95,9.95,9.95,9.95,000,6.842637
2005-11-11,9.98,9.98,9.98,9.98,000,6.863267
2005-11-10,9.98,9.98,9.98,9.98,000,6.863267
2005-11-09,9.94,9.94,9.94,9.94,000,6.835759
2005-11-08,9.98,9.98,9.98,9.98,000,6.863267
2005-11-07,9.94,9.94,9.94,9.94,000,6.835759
2005-11-04,9.93,9.93,9.93,9.93,000,6.828883
2005-11-03,9.94,9.94,9.94,9.94,000,6.835759
2005-11-02,9.96,9.96,9.96,9.96,000,6.849514
2005-11-01,9.98,9.98,9.98,9.98,000,6.863267
2005-10-31,9.99,9.99,9.99,9.99,000,6.870145
2005-10-28,9.99,9.99,9.99,9.99,000,6.844012
2005-10-27,10.00,10.00,10.00,10.00,000,6.850863
2005-10-26,9.99,9.99,9.99,9.99,000,6.844012
2005-10-25,10.03,10.03,10.03,10.03,000,6.871416
2005-10-24,10.05,10.05,10.05,10.05,000,6.885118
2005-10-21,10.08,10.08,10.08,10.08,000,6.90567
2005-10-20,10.05,10.05,10.05,10.05,000,6.885118
2005-10-19,10.05,10.05,10.05,10.05,000,6.885118
2005-10-18,10.04,10.04,10.04,10.04,000,6.878267
2005-10-17,10.04,10.04,10.04,10.04,000,6.878267
2005-10-14,10.03,10.03,10.03,10.03,000,6.871416
2005-10-13,10.04,10.04,10.04,10.04,000,6.878267
2005-10-12,10.06,10.06,10.06,10.06,000,6.891969
2005-10-11,10.09,10.09,10.09,10.09,000,6.912521
2005-10-10,10.10,10.10,10.10,10.10,000,6.919372
2005-10-07,10.10,10.10,10.10,10.10,000,6.919372
2005-10-06,10.10,10.10,10.10,10.10,000,6.919372
2005-10-05,10.10,10.10,10.10,10.10,000,6.919372
2005-10-04,10.09,10.09,10.09,10.09,000,6.912521
2005-10-03,10.09,10.09,10.09,10.09,000,6.912521
2005-09-30,10.11,10.11,10.11,10.11,000,6.926222
2005-09-29,10.13,10.13,10.13,10.13,000,6.914576
2005-09-28,10.15,10.15,10.15,10.15,000,6.928228
2005-09-27,10.13,10.13,10.13,10.13,000,6.914576
2005-09-26,10.14,10.14,10.14,10.14,000,6.921402
2005-09-23,10.16,10.16,10.16,10.16,000,6.935054
2005-09-22,10.19,10.19,10.19,10.19,000,6.955531
2005-09-21,10.18,10.18,10.18,10.18,000,6.948706
2005-09-20,10.16,10.16,10.16,10.16,000,6.935054
2005-09-19,10.17,10.17,10.17,10.17,000,6.94188
2005-09-16,10.16,10.16,10.16,10.16,000,6.935054
2005-09-15,10.18,10.18,10.18,10.18,000,6.948706
2005-09-14,10.20,10.20,10.20,10.20,000,6.962357
2005-09-13,10.21,10.21,10.21,10.21,000,6.969183
2005-09-12,10.20,10.20,10.20,10.20,000,6.962357
2005-09-09,10.21,10.21,10.21,10.21,000,6.969183
2005-09-08,10.21,10.21,10.21,10.21,000,6.969183
2005-09-07,10.21,10.21,10.21,10.21,000,6.969183
2005-09-06,10.24,10.24,10.24,10.24,000,6.98966
2005-09-02,10.26,10.26,10.26,10.26,000,7.003312
2005-09-01,10.27,10.27,10.27,10.27,000,7.010138
2005-08-31,10.26,10.26,10.26,10.26,000,7.003312
2005-08-30,10.23,10.23,10.23,10.23,000,6.956896
2005-08-29,10.19,10.19,10.19,10.19,000,6.929694
2005-08-26,10.19,10.19,10.19,10.19,000,6.929694
2005-08-25,10.20,10.20,10.20,10.20,000,6.936495
2005-08-24,10.19,10.19,10.19,10.19,000,6.929694
2005-08-23,10.19,10.19,10.19,10.19,000,6.929694
2005-08-22,10.18,10.18,10.18,10.18,000,6.922894
2005-08-19,10.18,10.18,10.18,10.18,000,6.922894
2005-08-18,10.18,10.18,10.18,10.18,000,6.922894
2005-08-17,10.16,10.16,10.16,10.16,000,6.909293
2005-08-16,10.18,10.18,10.18,10.18,000,6.922894
2005-08-15,10.16,10.16,10.16,10.16,000,6.909293
2005-08-12,10.18,10.18,10.18,10.18,000,6.922894
